symbol_chr,RAS/CAS|L2FC,RAS/CAS|PValue,RAS/CAS|FDR,RAS/WT-O|L2FC,RAS/WT-O|PValue,RAS/WT-O|FDR,53KO/WT|L2FC,53KO/WT|PValue,53KO/WT|FDR,CAS/WT|L2FC,CAS/WT|Pvalue,CAS/WT|FDR
Atp8a1_chr5,-0.46,0.013073103,0.032765419,2.64,2.98E-09,8.89E-08,1.942195225,7.45E-10,9.31E-09,3.10386812,9.78E-16,7.76E-15
Atp8a2_chr14,0.79,0.187504847,0.33582095,-0.29,1,1,0.122518951,0.220774322,0.426393687,-1.072744533,0.183911202,0.310166642
Atp8b1_chr18,0.83,0.00044635,0.001504448,-0.32,0.203620084,0.540318527,-1.167143114,5.61E-06,3.67E-05,-1.147495779,2.27E-06,8.24E-06
Atp8b2_chr3,-0.73,0.000882177,0.002818502,1.00,0.011595529,0.066620544,1.360864437,1.04E-07,9.31E-07,1.730407292,1.27E-08,5.73E-08
Atp8b3_chr10,-2.17,1.41E-06,7.05E-06,0.86,1,1,0,1,1,3.031271123,2.60E-05,8.45E-05
Atp8b4_chr2,-1.24,2.9751E-07,1.6334E-06,0.38,0.925549548,1,0.357539829,0.070729233,0.16674248,1.627758981,7.83E-07,2.97E-06
Atp8b5_chr4,-2.66,9.92E-10,7.33E-09,-2.86,1.84E-11,8.03E-10,-1.619326286,3.54E-07,2.88E-06,-0.195380062,0.390794004,0.593276507
Atp9a_chr2,1.45,2.0651E-12,2.0293E-11,-0.48,0.169782432,0.479550768,-1.468071479,4.22E-10,5.53E-09,-1.926362926,9.61E-17,8.17E-16
Atp9b_chr18,0.15,0.197155191,0.35024359,0.18,0.47914155,0.914122495,0.154277908,0.28968931,0.529275123,0.035014654,0.565771667,0.802451641
Atpaf1_chr4,0.15,0.242941075,0.417291247,-0.49,0.684952337,1,-0.503171402,0.029974205,0.079958738,-0.647587135,0.117320194,0.209233467
Atpaf2_chr11,0.04,0.720797464,0.980642376,-0.47,0.019174688,0.098523046,-0.021192803,0.301822002,0.546487959,-0.505487132,0.007001868,0.015998763
Atpif1_chr4,-0.80,0.000256559,0.000905645,0.41,0.220317147,0.569914726,1.239454458,0.000561788,0.002395149,1.211535711,1.47E-06,5.44E-06
Atr_chr9,-0.41,0.081227157,0.164593175,0.10,0.81320172,1,-0.299833647,0.432435561,0.730788427,0.510180984,0.049404901,0.09596071
Atrip_chr9,0.07,0.500230873,0.75641652,-0.26,0.824564594,1,-0.443734975,0.560119152,0.864402986,-0.332082199,0.375221133,0.572525713
Atrn_chr2,1.53,3.4131E-15,4.4814E-14,-0.42,0.134139594,0.411015691,-1.167778204,1.32E-07,1.16E-06,-1.947122526,2.60E-20,2.82E-19
Atrnl1_chr19,1.11,5.3768E-06,2.4784E-05,-0.38,0.14118099,0.425833381,-0.665746746,0.005162372,0.0171808,-1.487503978,2.82E-09,1.34E-08
Atrx_chrX,-0.42,0.152142644,0.282682686,0.92,0.103067405,0.3436566,1.181241239,0.011426149,0.034729753,1.339976657,0.002344653,0.005795547
Atxn1_chr13,0.43,0.115490076,0.223163661,0.24,0.9113312,1,-0.024278363,0.978082463,1,-0.188063781,0.093503064,0.170713427
Atxn10_chr15,0.45,0.032432134,0.073562639,-0.31,0.222650383,0.573721578,-0.825483166,7.18E-05,0.000372952,-0.761606893,0.000820905,0.002173618
Atxn1l_chr8,0.11,0.92787242,1,-0.15,0.106521696,0.351293348,-1.183838867,0.000255339,0.001178098,-0.254836794,0.088152418,0.162000806
Atxn2_chr5,1.68,2.0398E-16,3.0863E-15,-0.04,0.676328748,1,-1.077507099,3.83E-07,3.11E-06,-1.713081523,5.69E-15,4.28E-14
Atxn2l_chr7,-0.17,0.582192209,0.826553334,0.66,0.030082998,0.139881727,0.066232632,0.040369417,0.103063302,0.831485174,0.006689944,0.015325215
Atxn3_chr12,0.10,0.830399624,1,-0.18,0.1149897,0.370440895,-0.459280239,0.058152344,0.140879857,-0.279333692,0.073449661,0.137426143
Atxn7_chr14,0.01,0.722786326,0.982686295,0.57,0.25143445,0.621402201,0.543147097,0.01196234,0.036173357,0.554015946,0.428070747,0.642451674
Atxn7l1_chr12,0.26,0.708696016,0.967747542,-0.18,0.700205924,1,-0.264913722,0.692255648,1,-0.443524497,0.448557582,0.669480329
Atxn7l2_chr3,-0.48,0.023692611,0.055662786,0.97,0.011255074,0.064985821,0.901638271,0.002346224,0.008563883,1.450780976,3.18E-06,1.14E-05
Atxn7l3_chr11,0.17,0.725137523,0.98510528,0.27,0.827405845,1,-0.672840038,0.100734818,0.224477627,0.098334917,0.896449877,1
Atxn7l3b_chr10,0.68,0.000279617,0.00097925,-0.04,0.714683503,1,-0.756739831,0.000234987,0.001091782,-0.723326213,6.66E-05,0.000205581
AU015228_chr2,-1.02,0.57234907,0.816136483,0.00,0.168159707,0.476705487,0,0.239612953,0.45536062,1.018392408,0.39590861,0.599955405
AU018091_chr7,0.43,1,1,1.44,0.312506386,0.707308962,0,1,1,1.018392408,1,1
AU018829_chr5,-2.41,0.786691777,1,0.00,0.26608245,0.642668483,0,1,1,2.406491818,0.147549667,0.25648087
AU019823_chr9,-0.26,0.190782191,0.340692954,0.31,0.706955735,1,1.083582694,0.001559629,0.00595071,0.575015428,0.094136971,0.171722386
AU021092_chr16,1.72,4.5111E-05,1.8016E-04,-0.40,0.433048537,0.857018145,-0.020390228,0.864879708,1,-2.123466784,2.02E-06,7.38E-06
AU022252_chr4,1.25,1.3357E-08,8.6901E-08,-0.81,0.014513639,0.079326661,-0.484478328,0.003553229,0.012347045,-2.063918727,2.35E-15,1.81E-14
AU022751_chrX,0.00,1,1,0.00,1,1,0,1,1,0,1,1
AU040320_chr4,-0.14,0.641481938,0.893499565,-0.43,0.008392622,0.051206233,-0.619973363,0.007827414,0.024844183,-0.293550621,0.029829346,0.060639783
AU041133_chr10,-0.51,0.03734038,0.083353224,0.69,0.00960389,0.057229337,0.646807246,0.001314671,0.005110901,1.205120605,5.05E-06,1.77E-05
Auh_chr13,1.46,3.3293E-14,3.9336E-13,-0.30,0.582368999,1,-0.783383865,6.17E-05,0.000324891,-1.757120523,6.40E-16,5.13E-15
Aup1_chr6,0.65,0.000616848,0.002027086,-0.34,0.437381432,0.862661841,-0.432746054,0.028509059,0.076515825,-0.987244656,2.86E-05,9.24E-05
Aurka_chr2,-1.58,4.4682E-13,4.7094E-12,0.36,0.429836355,0.853429892,-0.098347844,0.881160742,1,1.946580821,5.90E-15,4.42E-14
Aurkaip1_chr4,0.64,0.017817179,0.043163895,-0.45,0.241175917,0.604957183,-0.08385555,0.297950517,0.541008673,-1.09266696,0.000427181,0.0011785
Aurkb_chr11,-2.69,1.1295E-17,1.9473E-16,2.83,7.02E-09,1.95E-07,2.304719522,6.94E-10,8.73E-09,5.517118318,2.27E-37,8.08E-36
Aurkc_chr7,-0.66,0.434467747,0.675025434,0.86,1,1,0,0.317531266,0.569883899,1.518798282,0.195107621,0.32684359
Auts2_chr5,-1.39,0.001213567,0.003784155,0.23,0.576035656,1,0.041205824,0.883496109,1,1.61872416,0.011393998,0.025109148
AV320801_chrX,0.00,0.232169769,0.401370633,0.00,1,1,0,1,1,0,0.351741591,0.540997656
Aven_chr2,0.94,3.31E-06,1.57E-05,-0.55,0.057126343,0.223128776,-0.122070978,0.18676883,0.372383974,-1.494135901,1.19E-10,6.37E-10
Avil_chr10,0.24,1,1,4.26,4.35E-06,7.31E-05,4.116455377,4.62E-05,0.000250012,4.018206365,5.69E-06,1.98E-05
Avl9_chr6,0.05,0.402016963,0.633587022,0.12,0.570427345,0.997271609,-0.5965219,0.015915192,0.046396019,0.072718794,0.795063128,1
Avp_chr2,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Avpi1_chr19,0.55,0.040472743,0.089511472,-0.31,0.809866479,1,0.63051015,0.078824817,0.18254995,-0.864259566,0.070876725,0.133072797
Avpr1a_chr10,1.38,2.9114E-12,2.8227E-11,-0.94,1.41E-07,3.19E-06,-2.649152139,1.64E-32,2.73E-30,-2.321656048,7.96E-32,1.93E-30
Avpr1b_chr1,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Avpr2_chrX,-0.98,0.021591419,0.05125481,2.71,0.203264845,0.539501486,2.926803803,0.012247441,0.036907486,3.694225025,0.000781313,0.002076593
AW146154_chr7,-0.41,0.12806726,0.243219998,0.45,0.208573011,0.549511029,1.074992459,0.000286571,0.001306983,0.85527717,0.005868067,0.01356549
AW209491_chr13,0.63,0.012926866,0.032460331,-0.75,0.0007623,0.007089175,0.051696094,0.333838285,0.593422192,-1.381950096,8.14E-09,3.74E-08
AW549877_chr15,0.08,0.297474868,0.494833292,0.28,0.692596409,1,-0.31513605,0.239495292,0.455185941,0.198178487,0.522378426,0.762443731
AW551984_chr9,3.23,0.358928732,0.577106941,3.66,0.432333093,0.856041179,0,1,1,0.424381703,1,1
AW554918_chr18,-0.92,0.005717955,0.015587714,0.36,0.364568422,0.767923206,-0.72770172,0.950693402,1,1.273730657,0.000321904,0.000904053
Awat1_chrX,1.90,0.428216598,0.667052331,2.75,0.052092006,0.208368316,0,1,1,0.846423614,0.334436659,0.52138646
Awat2_chrX,1.62,3.9249E-06,1.8491E-05,-0.52,0.797174776,1,-0.121009006,0.291514116,0.531689534,-2.137566108,1.97E-05,6.51E-05
Axin1_chr17,-0.31,0.169688165,0.309306942,-0.23,0.055858122,0.219540462,-0.844366193,9.06E-05,0.000460429,0.077475453,0.585452893,0.826504996
Axin2_chr11,0.40,0.083766859,0.168944009,-0.88,0.00221007,0.017177935,-0.979420333,0.000763798,0.003150074,-1.277516177,2.21E-06,8.04E-06
Axl_chr7,-1.67,1.4805E-11,1.3404E-10,2.65,6.34E-16,6.01E-14,1.917530955,3.22E-14,7.23E-13,4.322786675,8.10E-41,3.73E-39
AY074887_chr9,0.87,0.060276603,0.127200713,-0.62,0.029330353,0.136765128,-1.775435653,0.000323278,0.001457136,-1.490035671,7.74E-05,0.000237138
AY358078_chr14,0.74,0.487851496,0.741508749,-1.39,0.006961094,0.0440686,-2.203857635,0.000835201,0.003414261,-2.125656416,0.046616173,0.091084568
AY761184_chr8,0.00,1,1,0.00,1,1,0,1,1,0,1,1
AY761185_chr8,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Aym1_chr5,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Azgp1_chr5,1.77,7.0528E-17,1.1203E-15,-0.33,0.456126365,0.886467362,-1.13761367,1.81E-08,1.83E-07,-2.09946559,1.82E-19,1.86E-18
Azi2_chr9,0.27,0.066932576,0.13903406,0.11,0.397979774,0.812477526,0.26820596,0.379805514,0.656942554,-0.160220345,0.327482583,0.512711886
Azin1_chr15,-0.03,0.936788079,1,-0.17,0.704941631,1,-0.273510836,0.288874103,0.528076311,-0.147098523,0.646728859,0.898653434
B020004C17Rik_chr14,0.00,1,1,0.00,1,1,0,1,1,0,1,1
B020004J07Rik_chr4,0.88,0.677698455,0.933592892,1.44,0.308647097,0.702348527,2.133159832,0.116329783,0.253421837,0.56193793,1,1
B230118H07Rik_chr2,0.78,0.000688478,0.002239048,-0.46,0.500786805,0.938614692,-0.199613553,0.366357319,0.63776229,-1.238808387,5.43E-05,0.000169453
B230217C12Rik_chr11,-4.37,7.7327E-38,7.2463E-36,1.03,0.008615435,0.052277468,0.83604951,0.017418161,0.050160852,5.406811592,5.01E-44,2.82E-42
B230219D22Rik_chr13,-0.40,0.324497368,0.531869468,0.10,0.976986628,1,-0.110559153,0.535455983,0.850751606,0.496262325,0.341057906,0.530073278
B2m_chr2,1.04,1.3103E-05,5.7027E-05,0.37,0.004143855,0.028885179,-0.113800542,0.681036752,1,-0.672400303,0.12904295,0.227624908
B3galnt1_chr3,-1.87,6.4765E-11,5.4514E-10,2.22,9.74E-09,2.64E-07,1.94199891,2.07E-08,2.08E-07,4.087009725,1.14E-28,2.25E-27
B3galnt2_chr13,0.52,0.010692471,0.027345991,0.11,0.626301404,1,0.457028805,0.109634806,0.241211103,-0.406421922,0.002505356,0.006158063
B3galt1_chr2,0.18,0.23040167,0.399325842,0.85,0.000621318,0.005910529,-1.067394915,1.89E-05,0.000111652,0.676486886,0.024839979,0.051213725
B3galt2_chr1,-0.77,0.497555228,0.753203719,0.64,0.285573134,0.670714466,3.109422595,0.006117273,0.019958645,1.406537506,0.056411123,0.108239309
B3galt4_chr17,-1.68,1.0287E-09,7.5896E-09,2.09,1.55E-06,2.86E-05,2.730775541,6.89E-14,1.48E-12,3.767039314,4.96E-23,6.43E-22
B3galt5_chr16,-2.96,1.75E-06,8.64E-06,0.97,0.026595828,0.126579366,-0.235988944,0.047840877,0.119051503,3.933135021,7.31E-10,3.67E-09
B3galt6_chr4,-0.84,0.000896859,0.002862657,-0.43,0.547364679,0.976987521,0.710842015,0.027932881,0.075222031,0.416127055,0.007661199,0.017397524
B3gat1_chr9,-1.02,0.543220371,0.797485369,0.00,1,1,0,0.543220371,0.857350343,1.018392408,1,1
B3gat2_chr1,-0.04,0.960633355,1,0.80,5.41E-06,8.92E-05,0.739326403,0.00070733,0.002948584,0.837269568,4.28E-06,1.51E-05
B3gat3_chr19,0.10,0.62805727,0.878645013,-0.56,0.024564789,0.119207705,-0.02838752,0.248982536,0.469633482,-0.654158167,0.006362926,0.014627995
B3gnt1_chr19,0.54,0.002277297,0.006740244,-0.06,0.995272947,1,-0.1172304,0.107509226,0.237164956,-0.602137456,0.002377863,0.005870768
B3gnt2_chr11,0.28,0.219300088,0.383775155,0.19,0.856500866,1,0.620276501,0.079785444,0.18435213,-0.092088582,0.30036961,0.476035851
B3gnt3_chr8,-1.11,8.6954E-04,2.7808E-03,-1.54,0.002989034,0.021954849,-2.546747766,0.057774373,0.140139487,-0.434461135,0.785124289,1
B3gnt4_chr5,-0.37,0.519028071,0.779665979,0.24,0.21424098,0.559559493,1.089389869,0.11158516,0.244737553,0.612711596,0.059904993,0.114451829
B3gnt5_chr16,2.18,0.008596982,0.022446226,1.35,0.175284538,0.489724589,1.689186964,0.001724071,0.006512906,-0.83142071,0.311017483,0.490735712
B3gnt6_chr7,-1.55,0.000175718,0.000639475,2.77,0.148178612,0.440029511,2.048746729,0.048717466,0.120946759,4.321020166,4.81E-06,1.69E-05
B3gnt7_chr1,-1.57,0.000265969,0.000935824,2.27,0.047136116,0.19371235,2.092559849,0.221579543,0.427629014,3.841221992,7.63E-07,2.90E-06
B3gnt8_chr7,-4.62,6.3764E-46,9.0704E-44,-0.20,0.439417986,0.865429999,-0.534735252,0.231668737,0.443219416,4.413641549,2.30E-41,1.10E-39
B3gntl1_chr11,-0.53,0.032493861,0.073672403,0.32,0.167752611,0.475957841,0.21663613,0.606752485,0.912565823,0.844215154,0.000510439,0.001392324
B430306N03Rik_chr17,-1.78,3.3043E-07,1.8014E-06,2.61,2.50E-10,9.13E-09,3.078055456,2.21E-17,7.29E-16,4.392445459,9.87E-25,1.45E-23
B4galnt1_chr10,-0.07,0.894910054,1,-0.01,0.967125002,1,-0.157103291,0.357471009,0.62618725,0.057592556,0.862238502,1
B4galnt2_chr11,-1.69,5.17E-07,2.75E-06,1.98,0.046297571,0.191145063,2.627746257,3.77E-06,2.55E-05,3.665999918,7.99E-11,4.34E-10
B4galnt3_chr6,3.01,1.8020E-08,1.1518E-07,-1.18,0.001537312,0.012718804,-4.251756674,1.57E-11,2.51E-10,-4.187944279,4.35E-16,3.53E-15
B4galnt4_chr7,-3.13,9.7588E-08,5.6869E-07,0.39,0.052861662,0.210649012,1.119450738,0.053017293,0.130080436,3.512912515,1.51E-11,8.73E-11
B4galt1_chr4,-0.34,0.048210433,0.104662351,0.14,0.182831567,0.502721913,-0.422037148,0.1490938,0.31050631,0.476353467,0.000988812,0.002582021
B4galt2_chr4,-0.82,0.007307744,0.019398284,1.69,0.189161651,0.513685063,1.1637809,0.13807745,0.292038582,2.508936516,0.000143458,0.000425412
B4galt3_chr1,-0.77,0.002089032,0.006221851,0.35,0.748671007,1,0.97393263,0.002097995,0.00775404,1.118294063,0.000751956,0.002003442
B4galt4_chr16,-0.45,0.003629377,0.010284932,0.94,0.030523439,0.141487309,0.702604773,0.010991788,0.033532313,1.385122866,8.21E-07,3.11E-06
B4galt5_chr2,0.31,0.087012174,0.17456517,1.04,0.000657331,0.00621243,1.000512997,7.84E-05,0.000404224,0.725168314,0.086692444,0.159608048
B4galt6_chr18,-2.66,7.7954E-22,2.0041E-20,2.09,5.14E-10,1.78E-08,2.801894297,8.36E-21,3.93E-19,4.751203733,2.09E-45,1.29E-43
B4galt7_chr13,0.55,0.005014786,0.013839642,-0.52,0.012749925,0.071821037,-0.835621367,0.001631184,0.006202341,-1.06676474,1.75E-07,7.09E-07
B630005N14Rik_chr6,-1.25,2.8238E-06,1.3553E-05,0.79,0.116509801,0.373474177,1.555903092,8.81E-06,5.56E-05,2.040866462,9.24E-10,4.60E-09
B930041F14Rik_chr4,-2.79,6.7462E-20,1.4370E-18,0.76,0.579786962,1,1.311562178,0.002903375,0.010336158,3.550395662,1.42E-19,1.46E-18
B9d1_chr11,-0.08,0.237378626,0.409006471,1.18,0.005951737,0.038875314,1.428302433,0.003358407,0.011750885,1.260836547,0.000129218,0.000384953
B9d2_chr7,-1.44,3.7919E-07,2.0518E-06,0.29,0.108896786,0.356713822,0.629651122,0.06629198,0.15754429,1.722185865,7.26E-11,3.97E-10
Baalc_chr15,0.00,1,1,-1.48,0.091082489,0.315017491,-1.476353306,0.723435451,1,-1.476353306,0.091082489,0.166673784
Baat_chr4,1.42,4.3908E-11,3.7405E-10,-0.39,0.153661872,0.450612227,-0.340700996,0.006037245,0.01972721,-1.8077007,2.38E-15,1.83E-14
Bace1_chr9,1.42,1.5100E-10,1.2197E-09,-0.53,0.006734609,0.042962477,-1.450165057,5.26E-10,6.75E-09,-1.947694339,9.22E-19,9.02E-18
Bace2_chr16,0.18,0.976542073,1,-0.65,0.043274753,0.182225994,0.00753733,0.700571347,1,-0.828537483,0.048682435,0.094707835
Bach1_chr16,0.25,0.250597292,0.428541654,0.87,0.003826228,0.026962261,0.929002249,0.009508909,0.029429624,0.615960424,0.079207728,0.147263008
Bach2_chr4,-0.70,0.000536364,0.001781236,-0.12,0.02470836,0.119750964,-0.812264844,0.000497503,0.002145079,0.584070461,0.237113779,0.38927128
Bad_chr19,0.23,0.722558987,0.982578751,-0.20,1,1,0.239259021,0.787127757,1,-0.429558189,0.72398272,0.985321997
Bag1_chr4,0.51,0.074521676,0.152733903,-0.39,0.13062847,0.403966152,-0.075756922,0.156581313,0.32251615,-0.900207997,0.001037368,0.002702435
Bag2_chr1,0.86,0.002472688,0.007268643,-0.65,0.014070314,0.077413377,-1.442487041,2.60E-05,0.000148613,-1.510481265,8.96E-08,3.74E-07
Bag3_chr7,0.25,0.11160723,0.216772237,-0.33,0.045842328,0.189703651,1.311271626,1.95E-09,2.29E-08,-0.579803076,0.000354637,0.000989644
Bag4_chr8,0.92,1.50E-05,6.48E-05,-0.16,0.295587562,0.683438534,-0.413652823,0.00165702,0.00628618,-1.083569013,9.83E-08,4.09E-07
Bag5_chr12,0.02,0.838171737,1,-0.02,0.803612696,1,0.558472156,0.152953999,0.316640655,-0.034779414,0.965373812,1
Bag6_chr17,0.23,0.225029575,0.391590215,-0.16,0.420134524,0.840479711,-0.567997212,0.038088816,0.098201029,-0.380825448,0.043832969,0.086206192
Bahcc1_chr11,-1.44,7.0067E-06,3.1760E-05,-0.06,0.939426382,1,-1.160763858,0.011056792,0.033704071,1.375894571,5.56E-06,1.94E-05
Bahd1_chr2,-0.51,0.007593726,0.020070305,0.48,0.148675096,0.441221968,-0.015200907,0.47882837,0.79247766,0.994216424,4.55E-05,0.000143735
Bai1_chr15,-2.50,0.025856738,0.06014519,0.65,0.030664285,0.141744198,2.610431069,0.030664285,0.081528199,3.144147504,0.0001892,0.000550727
Bai2_chr4,-0.67,0.351134362,0.566455822,2.12,0.5925092,1,1.372649696,0.730459867,1,2.786041052,0.118130388,0.210532993
Bai3_chr1,0.00,0.555793645,0.797485369,0.00,1,1,0,1,1,0,0.555793645,0.791465001
Baiap2_chr11,-0.75,0.000485007,0.001624194,-0.50,0.014157898,0.077766378,-0.676983707,0.000696898,0.002909795,0.247618152,0.303351082,0.479975432
Baiap2l1_chr5,1.27,6.6096E-13,6.8605E-12,-0.05,0.663457848,1,-0.390499654,0.03165347,0.083832097,-1.325917564,1.61E-11,9.29E-11
Baiap2l2_chr15,-2.71,0.000562623,0.001860994,-0.06,1,1,-1.502451638,1,1,2.65263547,0.002808099,0.006843563
Baiap3_chr17,0.78,0.028807822,0.066175129,1.33,1.31E-05,0.000197092,1.529391184,3.58E-09,4.05E-08,0.55117796,0.02422413,0.05007728
Bak1_chr17,-0.56,0.000315425,0.001094099,0.57,0.002547387,0.019233682,0.316138164,0.032262814,0.085212843,1.133650783,7.85E-11,4.27E-10
Bambi_chr18,0.39,0.759169514,1,-0.02,0.538707602,0.971032669,0.561140928,0.398380624,0.683728359,-0.412273433,0.358369978,0.549519549
Banf1_chr19,-0.03,0.423001879,0.66043424,-0.17,0.997483648,1,-0.018156442,0.774681735,1,-0.140945805,0.421810415,0.634449165
Banf2_chr2,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Bank1_chr3,0.03,0.702956414,0.961774818,2.01,1.21E-07,2.77E-06,1.739417476,1.61E-08,1.64E-07,1.978067835,1.96E-08,8.72E-08
Banp_chr8,-0.78,0.005576154,0.015247654,0.73,0.546281149,0.976357295,1.89463689,8.44E-07,6.42E-06,1.512106287,0.00083881,0.002217993
Bap1_chr14,0.07,0.742707645,1,-0.06,0.815906404,1,-0.66647528,0.020032382,0.056560875,-0.129089926,0.574923088,0.813418518
Bard1_chr1,-2.87,3.4785E-13,3.7082E-12,2.57,1.32E-05,0.000198446,2.004657454,1.17E-07,1.04E-06,5.444214636,5.26E-25,7.87E-24
Barhl1_chr2,2.48,0.000754892,0.002435608,-0.67,0.94916933,1,-1.783797795,0.020271002,0.057144358,-3.141868945,0.000575371,0.001558826
Barhl2_chr5,0.00,1,1,0.00,1,1,0,1,1,0,1,1
Barx1_chr13,-2.55,0.004230848,0.011830695,-2.23,0.110017142,0.359504835,-0.870753671,1,1,0.320093069,0.618715418,0.866358156
Barx2_chr9,-4.30,2.8041E-12,2.7221E-11,0.90,1,1,1.436888405,1,1,5.194855818,3.68E-11,2.05E-10
Basp1_chr15,0.40,0.314092865,0.517953465,4.59,3.39E-20,6.57E-18,3.870949651,7.97E-22,4.13E-20,4.192529135,4.22E-23,5.50E-22
Batf_chr12,-1.34,6.6424E-07,3.4776E-06,2.72,4.56E-10,1.58E-08,4.361786579,1.66E-23,1.01E-21,4.060828057,6.00E-24,8.36E-23
Batf2_chr19,0.11,0.493676849,0.748698119,3.54,1.03E-11,4.68E-10,3.057700506,1.63E-11,2.61E-10,3.432989503,2.56E-13,1.69E-12
Batf3_chr1,-0.89,0.000821796,0.002638285,2.28,9.60E-09,2.61E-07,5.035242648,4.72E-31,6.24E-29,3.169373757,2.14E-17,1.91E-16
Bax_chr7,-0.21,0.059368449,0.125532048,0.34,0.10753594,0.353684579,0.713722619,0.000999075,0.003995611,0.546190753,0.000511944,0.001395773
Baz1a_chr12,-1.30,1.5252E-07,8.6981E-07,1.04,0.051093485,0.205734716,1.461792359,5.27E-06,3.46E-05,2.334656066,1.90E-12,1.17E-11
Baz1b_chr5,-0.66,0.003653649,0.010342362,0.44,0.306878712,0.700094361,0.679865081,0.00892756,0.02783425,1.092949441,9.31E-05,0.000283104
Baz2a_chr10,0.27,0.277947596,0.467729633,0.42,0.472898905,0.907011569,-0.149070978,0.783721894,1,0.145637751,0.715916311,0.976287705
Baz2b_chr2,-0.87,0.001416226,0.00435416,0.76,0.124741928,0.390911867,0.543556143,0.023092578,0.063953419,1.636007836,3.10E-06,1.11E-05
BB287469_chr12,0.00,0.55360267,0.797485369,0.00,1,1,0,1,1,0,0.55360267,0.791395255
Bbc3_chr7,1.00,5.17E-06,2.39E-05,-0.70,0.023629215,0.115682107,-2.286342046,2.72E-17,8.88E-16,-1.69613236,2.30E-11,1.31E-10
Bbip1_chr19,-0.53,0.167750836,0.3066328,0.31,0.030736849,0.14198457,1.475111928,2.91E-05,0.000165242,0.838264053,0.000440443,0.001212209
Bbox1_chr2,2.94,7.2574E-39,7.3332E-37,-0.44,0.21234802,0.556554412,-0.858223457,5.51E-06,3.61E-05,-3.376329486,7.84E-45,4.68E-43
Bbs1_chr19,0.40,0.405923734,0.639137371,-0.47,0.208365116,0.549274647,-1.324411738,0.002360935,0.008613521,-0.869532866,0.038386374,0.076306503
Bbs10_chr10,0.06,0.587011839,0.831990922,-0.15,0.313799093,0.708782785,-0.398094043,0.137626355,0.291429292,-0.212961057,0.122466018,0.217260326
Bbs12_chr3,-2.02,1.8267E-10,1.4598E-09,1.76,9.42E-05,0.001124936,1.803938544,6.50E-07,5.04E-06,3.783014938,5.57E-21,6.34E-20
Bbs2_chr8,-0.44,0.139056426,0.261843407,0.52,0.323634959,0.720014978,0.503755021,0.155306737,0.3203167,0.955740199,0.0142109,0.030848245
Bbs4_chr9,-0.17,0.382384403,0.607964256,0.08,0.561651037,0.98832211,-0.347572291,0.187816745,0.373705872,0.254807292,0.146116953,0.254287704
Bbs5_chr2,0.50,0.022753008,0.053688689,0.30,0.928602319,1,-0.908818191,0.064920863,0.154862604,-0.199122185,0.033102583,0.066635256
Bbs7_chr3,0.88,0.000141954,0.000524652,0.79,0.026475964,0.126060523,0.287009867,0.858307544,1,-0.091631125,0.134909344,0.236536639
Bbs9_chr9,-0.60,0.010179674,0.026117865,0.47,0.272765323,0.652033133,-0.377278869,0.265571537,0.494423017,1.06880347,0.000318418,0.000894804
Bbx_chr16,-0.36,0.091360909,0.182157474,0.32,0.456212398,0.886508418,0.102825459,0.994251615,1,0.679979159,0.015755352,0.033878089
BC003331_chr1,0.66,0.000171515,0.000625256,0.00,0.469008446,0.902521841,-0.57222219,0.039877382,0.102053778,-0.654343533,0.002506252,0.006159612
BC003965_chr17,0.08,0.648496651,0.900840535,-0.20,0.706065355,1,0.693422256,0.012999852,0.038832463,-0.275021854,0.40521198,0.612535867
BC004004_chr17,1.19,1.4884E-08,9.6326E-08,-0.48,0.113107922,0.366257227,-1.053896635,3.88E-08,3.69E-07,-1.677687127,7.77E-13,4.95E-12
BC005537_chr13,0.57,0.076228591,0.155823067,0.03,0.299385178,0.688814132,-0.989602964,0.065327248,0.155665461,-0.53590842,0.005162258,0.012048899
BC005561_chr5,1.81,1.3312E-04,4.9437E-04,0.05,0.352226544,0.75202066,0.036507009,0.084853297,0.193788388,-1.764008277,3.60E-06,1.28E-05
BC005624_chr2,-0.49,0.02207037,0.05224235,-0.50,0.000681365,0.006419362,-0.31952596,0.080558446,0.185750401,-0.008738736,0.258731686,0.420102311
BC016579_chr16,-3.11,9.2579E-04,2.9485E-03,1.44,0.325698263,0.723013434,3.245607588,0.0150494,0.044171262,4.557303654,0.000106135,0.000319986
BC017158_chr7,0.58,0.000550215,0.001823848,-0.41,0.135692978,0.414223128,-1.044085352,8.95E-05,0.000455117,-0.994516232,9.35E-07,3.52E-06
BC017643_chr11,-1.74,1.5576E-20,3.5420E-19,0.98,0.000569992,0.005489683,2.142331974,3.50E-23,2.06E-21,2.715371734,1.04E-34,3.06E-33
BC021614_chr19,1.97,1.4123E-13,1.5735E-12,-0.36,0.4031687,0.819709406,-1.141092696,6.14E-06,3.99E-05,-2.328987886,5.19E-16,4.19E-15
BC021785_chr10,0.68,0.007936358,0.02089509,-1.63,1.12E-08,3.01E-07,-3.136361701,5.32E-14,1.16E-12,-2.309931347,1.45E-15,1.14E-14
