"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"An RSFQ variable duty cycle oscillator for driving a superconductive qubit","D. S. Crankshaw; J. L. Habif; Xingxiang Zhou; T. P. Orlando; M. J. Feldman; M. F. Bocko","Massachusetts Inst. of Technol., Cambridge, MA, USA; NA; NA; NA; NA; NA","IEEE Transactions on Applied Superconductivity","","2003","13","2","966","969","We design an RSFQ oscillator with a variable duty cycle to drive a superconductive qubit. This design has been optimized to minimize the decoherence when coupled to the superconductive persistent current qubit. A continuous RSFQ ring oscillator reads the contents of a Non-Destructive Read Out memory cell. By using two out-of-phase counters to Set and Reset the cell, we can vary the duty cycle of the pulses read from the memory cell. This train of flux quanta is filtered, then used to drive the persistent current qubit. The precision is sufficient to measure relaxation time and possibly Rabi oscillations.","1051-8223;1558-2515;2378-7074","","10.1109/TASC.2003.814115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1211766","","Superconductivity;Counting circuits;Josephson junctions;Quantum computing;Persistent currents;Integrated circuit technology;Clocks;Ring oscillators;Laboratories;Foundries","nondestructive readout;superconducting integrated circuits;oscillators;quantum computing;persistent currents","superconductive qubit;RSFQ ring oscillator;variable duty cycle;nondestructive read out memory cell;decoherence;persistent current;relaxation time;Rabi oscillation;quantum computation","","12","","","","","","","","IEEE","IEEE Journals & Magazines"
"Optical information processing and waveform shaping with femtosecond pulses","A. M. Weiner","Sch. of Electr. & Comput. Eng., Purdue Univ., West Lafayette, IN, USA","Technical Digest. CLEO/Pacific Rim 2001. 4th Pacific Rim Conference on Lasers and Electro-Optics (Cat. No.01TH8557)","","2001","1","","I","I","Summary form only given, as follows. The field of femtosecond pulse shaping, in which Fourier synthesis methods are used to generate nearly arbitrarily shaped ultrafast optical waveforms according to user specification, is reviewed. An emphasis is placed on programmable Fourier transform pulse shaping methods based on the use of spatial light modulators. After the fundamental principles of pulse shaping are outlined, examples of pulse shaping using several different types of spatial fight modulators are described. Applications of pulse shaping are illustrated by drawing on experimental results in fields ranging from quantum control to optical communications. Finally, some new research directions in pulse shaping and in ultrafast optical signal processing are described. One example is the direct space-to-time (DST) pulse shaper, in which the generated output waveform is a directly scaled version of the input spatial beam profile. The DST pulse shaper is well suited to generation of ultrafast optical data packets for OTDM and in addition to its bulk optics implementation, may also be implemented in part using modified arrayed waveguide grating technology. As a second example, I illustrate nonlinear extensions of pulse shaping known as spectral holography and spectral nonlinear optics. These techniques make possible storage, recall, correlation, and time-to-space conversion of femtosecond optical signals.","","0-7803-6738","10.1109/CLEOPR.2001.967818","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=967818","","Information processing;Ultrafast optics;Optical pulse shaping;Pulse shaping methods;Holography;Nonlinear optics;Optical signal processing;Holographic optical components;Optical pulse generation;Arrayed waveguide gratings","optical pulse shaping;optical information processing;Fourier transform optics;spatial light modulators;optical communication","optical information processing;waveform shaping;femtosecond pulse shaping;Fourier synthesis methods;nearly arbitrarily shaped waveforms;ultrafast optical waveforms;programmable FT pulse shaping;spatial light modulators;quantum control;optical communications;direct space-to-time pulse shaper;ultrafast optical data packets;OTDM;bulk optics implementation;modified arrayed waveguide grating technology;nonlinear extensions;spectral holography;spectral nonlinear optics","","","","","","","","","","IEEE","IEEE Conferences"
"Space-time transmissions for wireless secret-key agreement with information-theoretic secrecy","X. Li; M. Chen; E. P. Ratazzi","Dept. of Electr. & Comput. Eng., State Univ. of New York, Binghamton, NY, USA; Dept. of Electr. & Comput. Eng., State Univ. of New York, Binghamton, NY, USA; NA","IEEE 6th Workshop on Signal Processing Advances in Wireless Communications, 2005.","","2005","","","811","815","An important building block of the cross-layer network security design is the physical-layer security which addresses problems such as whether the physical-layer can have build-in security and whether physical-layer techniques can assist the upper-layer encryption-based security techniques. This paper provides a positive answer by realizing information-theoretic secrecy with space-time transmissions. While most existing results on information-theoretic secrecy rely on some impractical assumptions, we propose a more practical approach that uses the redundancy of space-time transmissions to create intentional ambiguity to the adversary. Secrecy can be guaranteed even if the adversary has extremely high receiving signal-to-noise ratio. This approach is presented as a new way for secret-key agreement. Simulations in terms of receiving error rate and secret channel capacity are presented.","1948-3244;1948-3252","0-7803-8867","10.1109/SPAWC.2005.1506252","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1506252","","Cryptography;Information security;Computer security;Quantum computing;Channel capacity;Data security;Laboratories;Redundancy;Signal to noise ratio;Error analysis","telecommunication security;public key cryptography;information theory;channel capacity","cross-layer network security design;physical-layer security;encryption-based security technique;information-theoretic secrecy;space-time transmission;channel capacity;wireless secret-key agreement","","2","","","","","","","","IEEE","IEEE Conferences"
"Designing security courses and lab for undergraduate and graduate students","Xiangdong Li; M. Anshel","Dept. of Comput. Syst. Technol., CUNY, Brooklyn, NY, USA; NA","Proceedings from the Sixth Annual IEEE SMC Information Assurance Workshop","","2005","","","461","462","This paper describes the information security course module which contains three courses and a security laboratory for the undergraduate students at New York City College of Technology; and quantum cryptography course and the research laboratory for the graduate students (master's and Ph.D. programs) at the Graduate School and Center of City University of New York, CUNY.","","0-7803-9290","10.1109/IAW.2005.1496001","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1496001","","Information security;Data security;Communication system security;National security;Educational institutions;Laboratories;Cities and towns;Cryptography;Intrusion detection;Computer science","computer science education;quantum cryptography;educational courses;continuing education","security course design;undergraduate student;graduate student;information security course module;security laboratory;New York City College of Technology;quantum cryptography course;research laboratory;master programs;PhD programs;Graduate School and Center;City University of New York;CUNY","","","","","","","","","","IEEE","IEEE Conferences"
"A biosequence processor based on free-space optical interconnect","T. Ao; K. Hartinger; P. Alluri; C. Wilmsen","Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA; Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA; Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA; Dept. of Electr. & Comput. Eng., Colorado State Univ., Fort Collins, CO, USA","IEEE Journal of Selected Topics in Quantum Electronics","","2003","9","2","565","570","Biological sequence analysis requires a large amount of computing capabilities, some of which goes well beyond current electronic-based information processing systems. A novel parallel processing biological sequence processor based on free-space optical interconnects (FSOI) has been developed to verify the feasibility of such FSOI systems. Silicon photodetectors were designed into the standard CMOS integrated circuit as optical input. The processor has been fabricated with AMI 0.5 /spl mu/m CMOS technology via MOSIS service. Electronic and optical testings have been conducted. The system is shown to operate reliably with laser power as low as a few miniwatts.","1077-260X;1558-4542","","10.1109/JSTQE.2003.812501","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1239023","","Optical interconnections;Biomedical optical imaging;CMOS technology;Power system reliability;Information analysis;Biology computing;Information processing;Parallel processing;Silicon;Photodetectors","sequences;application specific integrated circuits;digital signal processing chips;CMOS digital integrated circuits;biological techniques;integrated optoelectronics;biology computing;optical interconnections;integrated circuit design;integrated circuit testing;photodetectors;parallel processing","biosequence processor;free-space optical interconnect;biological sequence analysis;parallel processing biological sequence processor;Si photodetectors;AMI 0.5 /spl mu/m CMOS technology;MOSIS service;electronic testing;optical testing;low laser power;Smith-Waterman algorithm-specific ASIC design;0.5 micron","","1","","","","","","","","IEEE","IEEE Journals & Magazines"
"National Science Foundation research initiatives","J. A. Momoh; R. P. Khosla; R. Baheti","Nat. Sci. Found., USA; Nat. Sci. Found., USA; Nat. Sci. Found., USA","2002 IEEE Power Engineering Society Winter Meeting. Conference Proceedings (Cat. No.02CH37309)","","2002","2","","1460","1462 vol.2","NSF has been pioneer of new research activity and education reforms. To keep the pace with technology, new development dealing with changes in engineering and industry has been a concern. For example, the problem facing the power industry transmission systems are solved by a range of advanced methods, in science and technology. They range from information technology, computational intelligence, nano-technology, complex network/transportation research, and sensor systems and educational outreach and curriculum reform to promote highly motivated workforce in support of NSF mission. In response to these needs, several initiatives and some promising ones, which are in the process are discussed in this presentation.","","0-7803-7322","10.1109/PESW.2002.985264","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=985264","","Research initiatives;Educational technology;Information technology;Power engineering and energy;Computational intelligence;Sensor systems;Photonics;Control systems;Educational institutions;Quantum computing","power engineering education;electricity supply industry;transmission networks;educational courses","National Science Foundation;research initiatives;education reforms;power industry;transmission systems;information technology;computational intelligence;workforce motivation;educational outreach;curriculum reform","","","","","","","","","","IEEE","IEEE Conferences"
"Nonlinear terahertz properties of n-type quantum-well heterostructures","A. A. Batista; P. I. Tamborenea; B. Birnir; D. S. Citrin","Sch. of Electr. & Comput. Eng., Georgia Inst. of Technol., Atlanta, GA, USA; NA; NA; NA","IEEE Journal of Selected Topics in Quantum Electronics","","2002","8","3","464","473","In this letter, we study the effect of many body interactions on the collective response of confined electrons in doped quantum-well (QW) heterostructures to intense far-infrared radiation. Absorption lineshapes are computed both by numerically integrating the equations of motion and by using the appropriately time-averaged equations. For a two-subband double-QW system optical bistability is observed and its parameter range is given. For an asymmetric triple-QW structure driven at /spl omega//spl ap/E/sub 2/-E/sub 0/ Hopf bifurcations occur which generate a strong response at a frequency incommensurate with the drive frequency or any natural frequency of the system.","1077-260X;1558-4542","","10.1109/JSTQE.2002.1016349","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1016349","","Quantum wells;Bifurcation;Absorption;Finite impulse response filter;Electrons;Optical bistability;Frequency response;Optical tuning;Distortion measurement;Extraterrestrial measurements","semiconductor quantum wells;optical bistability;optical harmonic generation;absorption coefficients;electroabsorption;bifurcation;Runge-Kutta methods;III-V semiconductors;gallium arsenide;aluminium compounds","n-type quantum-well heterostructures;nonlinear terahertz properties;many body interactions;collective response;confined electrons;doped quantum-well;intense far-infrared radiation;absorption lineshapes;equations of motion;time-averaged equations;two-subband system;optical bistability;asymmetric triple-QW structure;Hopf bifurcations;far-infrared intersubband transitions;superharmonic generation;incommensurate frequency;time-dependent Hartree approximation;fourth-order Runge-Kutta method;depolarization shift terms;Coulomb interaction;density-matrix equations;nonlinear filter;GaAs-AlGaAs","","4","","","","","","","","IEEE","IEEE Journals & Magazines"
"Bouncing threads: merging a new execution model into a nanotechnology memory","S. E. Frost; A. F. Rodrigues; C. A. Giefer; P. M. Kogge","Dept. of Comput. Sci. & Eng., Notre Dame Univ., USA; Dept. of Comput. Sci. & Eng., Notre Dame Univ., USA; Dept. of Comput. Sci. & Eng., Notre Dame Univ., USA; Dept. of Comput. Sci. & Eng., Notre Dame Univ., USA","IEEE Computer Society Annual Symposium on VLSI, 2003. Proceedings.","","2003","","","19","25","The need for small, high speed, low power computers as the end of Moore's law approaches is driving research into nanotechnology. These novel devices have significantly different properties than traditional MOS devices and require new design methodologies, which in turn provide exciting architectural opportunities. The H-memory is a design developed for a particular nanotechnology, quantum-dot cellular automata. We propose a new execution model that merges with the H-memory to exploit the characteristics of this nanotechnology by distributing the functionality of the CPU throughout the memory structure.","","0-7695-1904","10.1109/ISVLSI.2003.1183349","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1183349","","Yarn;Merging;Nanotechnology;Quantum cellular automata;Electrons;Quantum dots;Moore's Law;MOS devices;Central Processing Unit;Tunneling","quantum dots;cellular automata;nanotechnology;multi-threading;memory architecture;quantum computing","bouncing threads;execution model;nanotechnology memory;architectural design;H-memory;quantum dot cellular automata;CPU chip","","4","","","","","","","","IEEE","IEEE Conferences"
"Cellular nonlinear network based on semiconductor tunneling nanostructure","A. Khitun; K. L. Wang","Dept. of Electr. Eng., Univ. of California, Los Angeles, CA, USA; Dept. of Electr. Eng., Univ. of California, Los Angeles, CA, USA","IEEE Transactions on Electron Devices","","2005","52","2","183","189","We propose and analyze a cellular nonlinear network (CNN) based on a semiconductor nanostructure consisting of multiple layers of two semiconductors along with an incorporated quantum dot layer. An elementary logic cell of the proposed CNN consists of two resonant tunneling diodes connected in series through a quantum dot. The cell may be realized with multiple layers of two semiconductor materials with an embedded dot layer in between. The local interconnections of nanocells are achieved via tunneling between the neighboring quantum dots. Cells may be biased by the common column contacts, and only edge cells have individual I/O ports. Using approximate tunneling characteristics, we simulated network dynamics and found procedures leading to useful logic functionality. In order to illustrate network capabilities for image processing, we present examples of filtering, erosion, dilation, and edge detection carried out on a test image on a 400/spl times/269 cell template. The realization of a number of logic functions in one module is possible due to the incorporation of nonlinear (tunneling) elements for cell interconnections. The proposed CNN architecture for nanostructures demonstrates powerful computing potential that will be beneficial for many practical applications.","0018-9383;1557-9646","","10.1109/TED.2004.842545","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1386586","Cellular nonlinear network (CNN);image processing;nanotechnology;quantum device;quantum dot","Nonlinear circuits;Quantum dots;Cellular neural networks;Logic arrays;Resonant tunneling diodes;Image processing;Cellular logic arrays","nonlinear network analysis;semiconductor quantum dots;multilayers;cellular neural nets;logic arrays;resonant tunnelling diodes;nanoelectronics;image processing;cellular arrays","semiconductor tunneling nanostructure;cellular nonlinear network analysis;multiple layers;quantum dot layer;elementary logic cell;resonant tunneling diodes;nanocell interconnection;network dynamics simulation;useful logic functionality;image processing;image filtering;edge detection;logic functions;nonlinear tunneling elements;nanotechnology;quantum device","","10","","","","","","","","IEEE","IEEE Journals & Magazines"
"Quantum error detection .I. Statement of the problem","A. E. Ashikhmin; A. M. Barg; E. Knill; S. N. Litsyn","Bell Labs., Lucent Technol., Murray Hill, NJ, USA; NA; NA; NA","IEEE Transactions on Information Theory","","2000","46","3","778","788","This paper is devoted to the problem of error detection with quantum codes. We show that it is possible to give a consistent definition of the undetected error event. To prove this, we examine possible problem settings for quantum error detection. Our goal is to derive a functional that describes the probability of undetected error under natural physical assumptions concerning transmission with error detection with quantum codes. We discuss possible transmission protocols with stabilizer and unrestricted quantum codes. The set of results proved in the paper shows that in all the cases considered the average probability of undetected error for a given code is essentially given by one and the same function of its weight enumerators. We examine polynomial invariants of quantum codes and show that coefficients of Rains's (see ibid., vol44, p.1388-94, 1998) ""unitary weight enumerators"" are known for classical codes under the name of binomial moments of the distance distribution. As in the classical situation, these enumerators provide an alternative expression for the probability of undetected error.","0018-9448;1557-9654","","10.1109/18.841162","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=841162","","Probability","quantum cryptography;probability;error detection codes;functional equations;transport protocols;polynomials","quantum error detection;undetected error event;functional;undetected error probability;transmission protocols;unrestricted quantum codes;weight enumerators;polynomial invariants;unitary weight enumerators;coefficients;binomial moments;distance distribution;stabilizer quantum codes","","18","","","","","","","","IEEE","IEEE Journals & Magazines"
"Low-voltage traveling-wave electroabsorption modulator","Yi-Jen Chiu; V. Kaman; S. Z. Zhang; J. Piprek; J. E. Bowers","Dept. of Electr. & Comput. Eng., California Univ., Santa Barbara, CA, USA; NA; NA; NA; NA","LEOS 2001. 14th Annual Meeting of the IEEE Lasers and Electro-Optics Society (Cat. No.01CH37242)","","2001","1","","182","183 vol.1","Electroabsorption modulators (EAM) based on the quantum-confined-Stark QCS) effect have attracted a lot of interest in optical fiber communication due to their integrability with lasers, high extinction ratios and low chirp. At high frequency, the performance of conventional lump-electrode EAMs is limited by the total parasitic capacitance of the device, thus the device length can not be increased to improve the extinction ratio and saturation power. Based on the distributed effects, traveling-wave EA modulators (TWEAM) have been proposed to eliminate the lumped-element limits. In this paper, the practical issues of designing TWEAM for low-driving-voltage, high-speed and high-power operation are discussed.","1092-8081","0-7803-7105","10.1109/LEOS.2001.969233","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969233","","Optical waveguides;Optical saturation;Extinction ratio;Frequency;Impedance;Microwave devices;Quantum computing;Chirp modulation;Coplanar waveguides;Quantum well devices","electroabsorption;electro-optical modulation;optical design techniques;ridge waveguides;optical waveguide theory;indium compounds;gallium arsenide;gallium compounds;III-V semiconductors;semiconductor quantum wells;quantum confined Stark effect;optical communication equipment","low-voltage traveling-wave electroabsorption modulator;quantum-confined-Stark effect;optical fiber communication;high extinction ratios;low chirp;traveling-wave EA modulators;lumped-element limits;low-driving-voltage;high-speed;high-power operation;InGaAsP","","","","","","","","","","IEEE","IEEE Conferences"
"Simple rate-1/3 convolutional and tail-biting quantum error-correcting codes","G. D. Forney; S. Guha","Lab. for Inform. & Dec. Syst., Mass. Inst. Tech., Cambridge, MA, USA; NA","Proceedings. International Symposium on Information Theory, 2005. ISIT 2005.","","2005","","","1028","1032","Simple rate-1/3 single-error-correcting unrestricted and CSS-type quantum convolutional codes are constructed from classical self-orthogonal F<sub>4</sub>-linear and F<sub>2</sub>-linear convolutional codes, respectively. These quantum convolutional codes have higher rate than comparable quantum block codes or previous quantum convolutional codes, and are simple to decode. A block single-error-correcting [9,3,3] tail-biting code is derived from the unrestricted convolutional code, and similarly a [15,5,3] CSS-type block code from the CSS-type convolutional code","2157-8095;2157-8117","0-7803-9151","10.1109/ISIT.2005.1523495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1523495","","Convolutional codes;Error correction codes;Block codes;Decoding;Binary codes;Rain;Cascading style sheets;Concatenated codes;Quantum mechanics;Table lookup","convolutional codes;error correction codes;linear codes;quantum communication","tail-biting quantum error-correcting codes;linear convolutional codes;quantum convolutional codes;simple rate-1/3 single-error-correcting codes","","8","","","","","","","","IEEE","IEEE Conferences"
"Scalability of a low-cost multi-Teraflop Linux cluster for high-end classical atomistic and quantum mechanical simulations","H. Kikuchi; R. K. Kalia; A. Nakano; P. Vashishta; F. Shimojo; S. Saini","Dept. of Comput. Sci., Louisiana State Univ., Baton Rouge, LA, USA; NA; NA; NA; NA; NA","Proceedings International Parallel and Distributed Processing Symposium","","2003","","","8 pp.","","Scalability of a low-cost, Intel Xeon-based, multi-Teraflop Linux cluster is tested for two high-end scientific applications: Classical atomistic simulation based on the molecular dynamics method and quantum mechanical calculation based on the density functional theory. These scalable parallel applications use spacetime multiresolution algorithms and feature computational-space decomposition, wavelet-based adaptive load balancing, and spacefilling-curve-based data compression for scalable I/O. Comparative performance tests are performed on a 1024-processor Linux cluster and a conventional higher-end parallel supercomputer, 1184-processor IBM SP4. The results show that the performance of the Linux cluster is comparable to that of the SP4. We also study various effects, such as the sharing of memory and L2 cache among processors, on the performance.","1530-2075","0-7695-1926","10.1109/IPDPS.2003.1213163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1213163","","Scalability;Linux;Quantum mechanics;Computational modeling;Testing;Density functional theory;Clustering algorithms;Concurrent computing;High performance computing;Load management","workstation clusters;Unix;parallel algorithms;molecular dynamics method;quantum theory;physics computing;digital simulation;performance evaluation","low-cost multi-Teraflop Linux cluster scalability;high-end classical atomistic simulations;quantum mechanical simulations;Intel Xeon-based multiTeraflop Linux cluster;high-end scientific applications;molecular dynamics method;density functional theory;scalable parallel applications;space-time multiresolution algorithms;computational-space decomposition;wavelet-based adaptive load balancing;spacefilling-curve-based data compression;scalable I/O;parallel supercomputer;IBM SP4;memory sharing;L2 cache","","1","","","","","","","","IEEE","IEEE Conferences"
"Quantum error-correction using codes with low-density generator matrix","H. Lou; J. Garcia-Frias","Dept. of Electr. & Comput. Eng., Delaware Univ., Newark, DE, USA; Dept. of Electr. & Comput. Eng., Delaware Univ., Newark, DE, USA","IEEE 6th Workshop on Signal Processing Advances in Wireless Communications, 2005.","","2005","","","1043","1047","We propose the use of linear codes with low-density generator matrix in the context of quantum error correction. The proposed codes allow greater flexibility and are easier to design than existing sparse-graph quantum codes, while leading to better performance.","1948-3244;1948-3252","0-7803-8867","10.1109/SPAWC.2005.1506298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1506298","","Error correction codes;Parity check codes;Sparse matrices;Iterative decoding;Code standards;Computer errors;Linear code;Quantum computing;Block codes;Cascading style sheets","linear codes;quantum communication;error correction codes;sparse matrices;graph theory;parity check codes","linear code;low-density generator matrix;quantum error correction code;sparse-graph quantum code","","3","","","","","","","","IEEE","IEEE Conferences"
"Microscopic physics-based interactive semiconductor laser simulator","J. V. Moloney; M. Kolesik; M. Matus; J. Hader; S. W. Koch","Dept. of Math., Arizona Univ., Tucson, AZ, USA; NA; NA; NA; NA","Conference Digest. 2000 Conference on Lasers and Electro-Optics Europe (Cat. No.00TH8505)","","2000","","","1 pp.","","Summary form only given. Experimentally validated rigorous microscopic many-body calculations of semiconductor gain and refractive index spectra for a wide variety of quantum well structures provide the foundation on which we build a full scale space-time interactive simulation model of both low and high power semiconductor lasers. The simulation model is extremely flexible utilizing look-up tables generated for a particular QW structure with confinement barriers (GRINSCH, SCH). The ability now exists to design and optimize laser structures starting from the same level as the materials grower. We explicitly illustrate the occurrence of dynamic intensity filamentation in high power laser diodes and discuss the means to suppress such behavior using current/index profiling, cavity spoilers, flared contacts etc. As an illustration of low power instabilities, we discuss the stimulation of isolated multi-longitudinal mode beatings in the presence of an external feedback mirror, power dropouts in DFB and regular lasers and synchronization of high dimensional chaotic oscillations between a transmitter and receiver laser system.","","0-7803-6319","10.1109/CLEOE.2000.909727","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=909727","","Microscopy;Laser theory;Semiconductor lasers;Laser modes;Power lasers;Laser feedback;Quantum well lasers;Refractive index;Optical design;Design optimization","semiconductor lasers;quantum well lasers;gradient index optics;physics computing;C++ language;graphical user interfaces;laser modes;distributed feedback lasers;laser mirrors;laser feedback;synchronisation;laser cavity resonators;laser beams;optical chaos;oscillations;optical transmitters;optical receivers;laser stability","microscopic physics-based interactive semiconductor laser simulator;many-body calculations;semiconductor gain;refractive index spectra;quantum well structures;full scale space-time interactive simulation model;high power semiconductor lasers;low power semiconductor lasers;simulation model;look-up tables;confinement barriers;GRINSCH barrier;SCH barrier;laser structures;dynamic intensity filamentation;high power laser diodes;index profiling;current profiling;cavity spoilers;flared contacts;low power instabilities;isolated multi-longitudinal mode beatings;external feedback mirror;power dropouts;DFB lasers;regular lasers;synchronization;high dimensional chaotic oscillations;receiver laser system;transmitter laser system;semiconductor laser simulator;interactive semiconductor laser simulator","","","","","","","","","","IEEE","IEEE Conferences"
"Spin characterization and control over the regime of radiation-induced zero-resistance states","R. G. Mani","Gordon McKay Lab. of Appl. Sci., Harvard Univ., Cambridge, MA, USA","IEEE Transactions on Nanotechnology","","2005","4","1","27","34","Over the regime of the radiation-induced zero-resistance states and associated oscillatory magnetoresistance, we propose a low-magnetic-field analog of quantum-Hall-limit techniques for the electrical detection of electron spin and nuclear magnetic resonance, dynamical nuclear polarization via electron spin resonance, and electrical characterization of the nuclear spin polarization via the Overhauser shift. In addition, beats observed in the radiation-induced oscillatory magnetoresistance are developed into a method to measure and control the zero-field spin splitting due to the Bychkov-Rashba and bulk inversion asymmetry terms in the high-mobility GaAs-AlGaAs system.","1536-125X;1941-0085","","10.1109/TNANO.2004.840147","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1381389","Electron spin;GaAs–AlGaAs;nuclear spin;quantum computing;quantum Hall effect;Rashba effect;spintronics;zero-resistance states","Paramagnetic resonance;Quantum computing;Magnetic field measurement;Polarization;Radiation detectors;Radio frequency;Magnetoresistance;Control systems;Magnetoelectronics;Semiconductor device measurement","gallium compounds;gallium arsenide;aluminium compounds;III-V semiconductors;quantum Hall effect;magnetoresistance;electron spin polarisation;spin dynamics;nuclear polarisation;paramagnetic resonance;Overhauser effect;nuclear magnetic resonance;Hall mobility","spin characterization;radiation induced zero resistance states;oscillatory magnetoresistance;quantum Hall limit method;electrical detection;nuclear magnetic resonance;dynamical nuclear polarization;electron spin resonance;nuclear spin polarization;Overhauser shift;zero field spin splitting;Bychkov Rashba inversion asymmetry;high mobility GaAs-AlGaAs system;bulk inversion asymmetry;GaAs-AlGaAs","","14","","","","","","","","IEEE","IEEE Journals & Magazines"
"Isolation filters for macroscopic quantum coherence experiment","P. Rott; M. J. Feldman","Dept. of Phys. & Astron., Univ. of Rochester, NY, USA; NA","IEEE Transactions on Applied Superconductivity","","2003","13","2","970","973","One of the main difficulties in observing quantum coherence (MQC) in rf-SQUID based systems is extremely short coherence times. Quantum coherence in macroscopic system is rapidly destroyed by interaction with the environment. This precludes any MQC experiments from using high-speed data acquisition that allows direct evidence of coherent evolution of linear combination of rf-SQUID eigenstates. In order to perform such experiments, isolation structures that effectively shield MQC experimental elements from small-signal interaction with data acquisition circuitry on chip and at the same time allow large signals such as RSFQ pulses to propagate through. We consider design and simulation of series of Josephson junctions with varied parameters as an example of such isolation filters.","1051-8223;1558-2515;2378-7074","","10.1109/TASC.2003.814116","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1211767","","Circuits;Josephson junctions;Extraterrestrial measurements;Quantum computing;Energy states;Frequency;Data acquisition;Microwave filters;Switches;US Department of Defense","SQUIDs;Josephson effect;superconducting filters","isolation filter;macroscopic quantum coherence;RF-SQUID;Josephson junction;data acquisition;RSFQ circuit","","2","","","","","","","","IEEE","IEEE Journals & Magazines"
"Real-time measurement of ultrashort optical pulses using SPIDER","T. M. Shuman; M. E. Anderson; J. Bromage; L. J. Waxer; I. A. Walmsley; C. Iaconis","Inst. of Opt., Rochester Univ., NY, USA; NA; NA; NA; NA; NA","Technical Digest. Summaries of papers presented at the Conference on Lasers and Electro-Optics. Postconference Edition. CLEO '99. Conference on Lasers and Electro-Optics (IEEE Cat. No.99CH37013)","","1999","","","533","","Summary form only given. Real-time characterization of ultrashort optical pulses is critical for a number of important emerging applications: adaptive phase control for oscillator and amplifier optimization, quantum control with learning feedback, laser diagnostics, nonlinear pulse propagation and ultrafast spectroscopy. To date, however, most techniques that return quantitative, high resolution information about the pulse shapes do so at a sub-Hertz repetition rate. It is possible to increase the acquisition rate in certain cases by using a reduced resolution spectrogram and dedicated signal processing hardware, as has been demonstrated by Kane (1998). We present a real-time pulse measurement-device that has no moving components, requires only one-dimensional data collection, and uses a noniterative inversion algorithm. Our technique, spectral phase interferometry for direct electric-field reconstruction (SPIDER), retrieves the spectral phase of the input pulses at an update rate of greater than 15 Hz using an inexpensive linear CCD array and standard data acquisition hardware in a desktop computer that implements the simple and rapid inversion algorithm in LabView.","","1-55752-595","10.1109/CLEO.1999.834555","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=834555","","Pulse measurements;Optical pulses;Pulse amplifiers;Signal processing algorithms;Laser feedback;Signal resolution;Hardware;Phased arrays;Programmable control;Adaptive control","real-time systems;pulse measurement;optical pulse generation;optical pulse shaping;light interferometry;optical arrays;CCD image sensors;data acquisition;optical information processing;signal reconstruction;laser beams;laser variables measurement;physics computing","real-time measurement;ultrashort optical pulses;SPIDER;real-time characterization;adaptive phase control;amplifier optimization;oscillator optimization;quantum control;learning feedback;laser diagnostics;nonlinear pulse propagation;ultrafast spectroscopy;quantitative high resolution information;pulse shapes;sub-Hertz repetition rate;acquisition rate;reduced resolution spectrogram;signal processing hardware;real-time pulse measurement-device;one-dimensional data collection;noniterative inversion algorithm;spectral phase interferometry for direct electric-field reconstruction;spectral phase;input pulses;linear CCD array;standard data acquisition hardware;desktop computer;inversion algorithm;LabView","","","","","","","","","","IEEE","IEEE Conferences"
